iter	RMSE
0	0.960487412
1	0.9216353204
2	0.8855751825
3	0.8517055554
4	0.8200322454
5	0.7901350432
6	0.7616805827
7	0.7354123854
8	0.7105428062
9	0.688569785
10	0.6665796762
11	0.645655188
12	0.6272239938
13	0.609904958
14	0.5929622217
15	0.57700003
16	0.5620719682
17	0.5470959141
18	0.5342269012
19	0.5219344113
20	0.5096185655
21	0.4984436668
22	0.4882732731
23	0.4856471732
24	0.4756601352
25	0.4731300113
26	0.4704617916
27	0.4612135239
28	0.4588804238
29	0.4494089137
30	0.4412420105
31	0.4390173992
32	0.4367684358
33	0.4346728256
34	0.4274206138
35	0.4252421327
36	0.4231260426
37	0.4158176541
38	0.4096126458
39	0.407607211
40	0.4056599794
41	0.4039002223
42	0.4022168631
43	0.3960976606
44	0.3897365189
45	0.3839459198
46	0.3822797952
47	0.3770571956
48	0.3730850619
49	0.3715037841
50	0.3660458124
51	0.3646912449
52	0.3633518863
53	0.361915564
54	0.3605428123
55	0.3592931632
56	0.358109352
57	0.3532841531
58	0.3485063433
59	0.3441977564
60	0.3402210767
61	0.3390489218
62	0.3379284787
63	0.3368996756
64	0.335904017
65	0.3324140846
66	0.3314454573
67	0.3304845447
68	0.32740584
69	0.3265124816
70	0.3231946511
71	0.3200502168
72	0.3191664245
73	0.318538824
74	0.3177632299
75	0.3145689392
76	0.3112743836
77	0.3084136492
78	0.3057349377
79	0.3049436827
80	0.3026516557
81	0.3019397358
82	0.2996062878
83	0.2989752469
84	0.2967123556
85	0.2960932887
86	0.2955411059
87	0.2931301823
88	0.2925226543
89	0.2919817433
90	0.2914577129
91	0.2891810948
92	0.2872761814
93	0.2867139698
94	0.2849026959
95	0.2829616459
96	0.2808809413
97	0.2793157522
98	0.2788062036
99	0.2772443118
100	0.2760313486
101	0.2748939598
102	0.2745128131
103	0.2733887931
104	0.2730252484
105	0.2726947549
106	0.2716084499
107	0.2702050129
108	0.2698654662
109	0.2686858527
110	0.2676861056
111	0.2667421486
112	0.2664304999
113	0.265333771
114	0.2641542346
115	0.2621483137
116	0.2613796694
117	0.2610974406
118	0.2599827474
119	0.2597439294
120	0.2586880595
121	0.2583589742
122	0.2573497141
123	0.2560463127
124	0.2558055141
125	0.254658101
126	0.2535653896
127	0.253381649
128	0.2523548113
129	0.2516117887
130	0.2514282139
131	0.25054913
132	0.2502464904
133	0.2496221778
134	0.2487848723
135	0.2483481987
136	0.2473881822
137	0.2472408496
