iter	Passed	Remaining
0	120	120050
1	124	61981
2	127	42429
3	130	32567
4	134	26786
5	138	22901
6	141	20129
7	145	18089
8	149	16467
9	153	15155
10	156	14094
11	160	13220
12	166	12637
13	170	11980
14	173	11372
15	177	10923
16	181	10506
17	184	10073
18	187	9681
19	190	9358
20	194	9087
21	198	8827
22	201	8557
23	204	8311
24	208	8135
25	210	7903
26	214	7724
27	217	7543
28	220	7372
29	224	7249
30	228	7133
31	230	6984
32	233	6842
33	235	6702
34	239	6613
35	243	6521
36	246	6411
37	249	6305
38	253	6241
39	256	6145
40	259	6071
41	262	5982
42	264	5883
43	268	5834
44	271	5764
45	275	5712
46	278	5638
47	282	5594
48	285	5538
49	288	5478
50	291	5420
51	293	5353
52	296	5297
53	299	5239
54	301	5188
55	305	5153
56	310	5138
57	314	5104
58	317	5056
59	320	5013
60	322	4968
61	325	4930
62	329	4899
63	331	4847
64	334	4817
65	338	4796
66	342	4773
67	345	4740
68	348	4704
69	352	4677
70	355	4646
71	359	4631
72	361	4596
73	363	4552
74	367	4530
75	370	4502
76	375	4500
77	379	4480
78	382	4464
79	385	4433
80	389	4424
81	392	4395
82	395	4371
83	399	4352
84	403	4346
85	407	4326
86	409	4298
87	413	4283
88	416	4261
89	419	4244
90	423	4230
91	434	4286
92	439	4283
93	442	4265
94	447	4265
95	455	4285
96	459	4278
97	467	4303
98	472	4298
99	481	4336
100	487	4334
101	492	4335
102	500	4354
103	503	4339
104	508	4336
105	511	4317
106	516	4306
107	521	4304
108	525	4298
109	529	4288
110	533	4272
111	537	4261
112	540	4245
113	544	4230
114	576	4433
115	584	4456
116	588	4442
117	591	4423
118	595	4406
119	599	4393
120	603	4385
121	607	4375
122	613	4377
123	621	4393
124	652	4565
125	660	4581
126	668	4595
127	704	4801
128	712	4808
129	717	4801
130	721	4783
131	741	4878
132	744	4853
133	747	4829
134	750	4805
135	752	4782
136	755	4761
137	758	4739
138	761	4717
139	764	4697
140	767	4676
141	770	4656
142	773	4637
143	776	4616
144	779	4596
145	782	4576
146	785	4559
